"inventory_ids","epmc_query_ids"
"26393351","26393351"
"26030752","26030752"
"31016417","31016417"
"33053178","33053178"
"28234924","28234924"
"31612957","31612957"
"24225319","24225319"
"22110027","22110027"
"27209279","27209279"
"31598709","31598709"
"23185043","23185043"
"33035337","33035337"
"25404132","25404132"
"22135305","22135305"
"24214966","24214966"
"25002814","25002814"
"25416797","25416797"
"23846594","23846594"
"33216893","33216893"
"24302579","24302579"
"27173524","27173524"
"31409791","31409791"
"29209336","29209336"
"34774049","34774049"
"27276067","27276067"
"24214964","24214964"
"31691822","31691822"
"28533016","28533016"
"25979979","25979979"
"33995899","33995899"
"24618344","24618344"
"28299908","28299908"
"24203711","24203711"
"30371892","30371892"
"31066443","31066443"
"31665429","31665429"
"33787872","33787872"
"28562632","28562632"
"33104791","33104791"
"30380071","30380071"
"33426407","33426407"
"26909679","26909679"
"31560645","31560645"
"33084904","33084904"
"26019122","26019122"
"27766955","27766955"
"32964659","32964659"
"32632099","32632099"
"32646415","32646415"
"26699919","26699919"
"34010390","34010390"
"26800861","26800861"
"23109553","23109553"
"23143106","23143106"
"23197660","23197660"
"25650278","25650278"
"22359444","22359444"
"30357418","30357418"
"23203870","23203870"
"26590402","26590402"
"23798489","23798489"
"22096231","22096231"
"25414353","25414353"
"23411718","23411718"
"24214991","24214991"
"22110040","22110040"
"24146773","24146773"
"31164042","31164042"
"34048547","34048547"
"22080548","22080548"
"30357403","30357403"
"31665430","31665430"
"30788500","30788500"
"30357379","30357379"
"35694152","35694152"
"30476229","30476229"
"27141961","27141961"
"25432969","25432969"
"32726198","32726198"
"26582924","26582924"
"29683130","29683130"
"27664130","27664130"
"22489867","22489867"
"29040751","29040751"
"25324312","25324312"
"24682734","24682734"
"32459338","32459338"
"23161695","23161695"
"34493866","34493866"
"29106618","29106618"
"23794736","23794736"
"30143675","30143675"
"25534749","25534749"
"23193256","23193256"
"30365030","30365030"
"31412866","31412866"
"22102771","22102771"
"25352549","25352549"
"23175615","23175615"
"31598693","31598693"
"25378340","25378340"
"21762488","21762488"
"28985416","28985416"
"30335161","30335161"
"23977990","23977990"
"24009897","24009897"
"31584095","31584095"
"30364969","30364969"
"30321400","30321400"
"31642488","31642488"
"30053265","30053265"
"22661580","22661580"
"27924041","27924041"
"28529706","28529706"
"23696792","23696792"
"33995920","33995920"
"34085038","34085038"
"31343654","31343654"
"25324316","25324316"
"34220930","34220930"
"23203885","23203885"
"27899646","27899646"
"26384373","26384373"
"27924038","27924038"
"22715304","22715304"
"25352729","25352729"
"22267904","22267904"
"34626475","34626475"
"33898816","33898816"
"32219413","32219413"
"27242503","27242503"
"33897975","33897975"
"32076423","32076423"
"34741074","34741074"
"26806463","26806463"
"24243844","24243844"
"33166383","33166383"
"26980518","26980518"
"33203359","33203359"
"24705206","24705206"
"29059383","29059383"
"26476447","26476447"
"27698587","27698587"
"22649282","22649282"
"23203866","23203866"
"26317619","26317619"
"23951158","23951158"
"25260589","25260589"
"31686102","31686102"
"34583740","34583740"
"24885079","24885079"
"25725058","25725058"
"23459781","23459781"
"32123502","32123502"
"29688353","29688353"
"23757396","23757396"
"28077567","28077567"
"24564786","24564786"
"24101916","24101916"
"22064857","22064857"
"34964845","34964845"
"29220485","29220485"
"25522231","25522231"
"21300622","21300622"
"26590404","26590404"
"21541042","21541042"
"26215638","26215638"
"30407583","30407583"
"25149689","25149689"
"29976644","29976644"
"27794553","27794553"
"34485385","34485385"
"27905517","27905517"
"23161677","23161677"
"30268934","30268934"
"28013277","28013277"
"25953079","25953079"
"25010047","25010047"
"30235322","30235322"
"27127885","27127885"
"31592084","31592084"
"30365027","30365027"
"33119759","33119759"
"31277321","31277321"
"24150938","24150938"
"34158935","34158935"
"33599246","33599246"
"30357393","30357393"
"30864352","30864352"
"24904731","24904731"
"22912585","22912585"
"21177656","21177656"
"22139938","22139938"
"31642496","31642496"
"34733322","34733322"
"33981200","33981200"
"22116062","22116062"
"25361971","25361971"
"24174536","24174536"
"22748121","22748121"
"23650583","23650583"
"22110038","22110038"
"26567549","26567549"
"23161689","23161689"
"22080549","22080549"
"31844835","31844835"
"22383735","22383735"
"25399415","25399415"
"22417913","22417913"
"23245398","23245398"
"25348407","25348407"
"27789686","27789686"
"23193271","23193271"
"26780094","26780094"
"23193262","23193262"
"25432975","25432975"
"21695066","21695066"
"31296229","31296229"
"23193258","23193258"
"32330167","32330167"
"28771471","28771471"
"25982314","25982314"
"26342919","26342919"
"27242038","27242038"
"27242033","27242033"
"23104379","23104379"
"34699529","34699529"
"24622612","24622612"
"33045729","33045729"
"29649979","29649979"
"21609420","21609420"
"31811943","31811943"
"24377417","24377417"
"32661237","32661237"
"33174597","33174597"
"30357361","30357361"
"25084271","25084271"
"31504765","31504765"
"24767249","24767249"
"34859531","34859531"
"22123736","22123736"
"25189782","25189782"
"23813641","23813641"
"29483591","29483591"
"26039571","26039571"
"33868597","33868597"
"24304901","24304901"
"34378141","34378141"
"30364992","30364992"
"32576192","32576192"
"32163115","32163115"
"25982315","25982315"
"27098585","27098585"
"28231303","28231303"
"26578586","26578586"
"32510565","32510565"
"34639237","34639237"
"33237299","33237299"
"32055858","32055858"
"33151298","33151298"
"31725863","31725863"
"28365739","28365739"
"28387199","28387199"
"32758136","32758136"
"23193275","23193275"
"26673694","26673694"
"24428872","24428872"
"31509535","31509535"
"31584099","31584099"
"29069473","29069473"
"30445434","30445434"
"31566222","31566222"
"24301061","24301061"
"22139925","22139925"
"34175476","34175476"
"23193255","23193255"
"33413085","33413085"
"30247654","30247654"
"30395284","30395284"
"23193293","23193293"
"33259604","33259604"
"29796383","29796383"
"22613085","22613085"
"30066211","30066211"
"26510927","26510927"
"22064851","22064851"
"28212602","28212602"
"23095476","23095476"
"31976536","31976536"
"34642750","34642750"
"33125055","33125055"
"23125365","23125365"
"30266410","30266410"
"29088455","29088455"
"27527702","27527702"
"23369322","23369322"
"33439542","33439542"
"30053237","30053237"
"28701700","28701700"
"32422927","32422927"
"33382884","33382884"
"25030426","25030426"
"21760913","21760913"
"23281827","23281827"
"23143109","23143109"
"22761927","22761927"
"22064861","22064861"
"32179762","32179762"
"27976751","27976751"
"33119754","33119754"
"33264402","33264402"
"24670875","24670875"
"24857969","24857969"
"30196115","30196115"
"23118488","23118488"
"34791105","34791105"
"33417691","33417691"
"22140100","22140100"
"23717556","23717556"
"26578597","26578597"
"25502817","25502817"
"27742821","27742821"
"22846459","22846459"
"22123737","22123737"
"27113915","27113915"
"27733501","27733501"
"33677507","33677507"
"31725860","31725860"
"22140112","22140112"
"26989147","26989147"
"26708988","26708988"
"28358052","28358052"
"28365729","28365729"
"22022467","22022467"
"31783725","31783725"
"27189608","27189608"
"23584836","23584836"
"30371888","30371888"
"31139565","31139565"
"21435384","21435384"
"29760467","29760467"
"23016940","23016940"
"22165817","22165817"
"24137008","24137008"
"28415075","28415075"
"29315358","29315358"
"25178365","25178365"
"22080558","22080558"
"29028885","29028885"
"27374121","27374121"
"26578596","26578596"
"24217912","24217912"
"25468930","25468930"
"24150944","24150944"
"26657893","26657893"
"23936191","23936191"
"22923302","22923302"
"32090260","32090260"
"24558441","24558441"
"32858223","32858223"
"22900683","22900683"
"24122843","24122843"
"33973408","33973408"
"22134927","22134927"
"26911352","26911352"
"33221926","33221926"
"30418591","30418591"
"30999860","30999860"
"34330336","34330336"
"30703169","30703169"
"24178989","24178989"
"33929018","33929018"
"23095257","23095257"
"25378303","25378303"
"24616562","24616562"
"22102591","22102591"
"29041922","29041922"
"34907423","34907423"
"28557712","28557712"
"22009673","22009673"
"26430546","26430546"
"29036693","29036693"
"31600197","31600197"
"33740463","33740463"
"33137185","33137185"
"29040670","29040670"
"32941628","32941628"
"30371881","30371881"
"29548284","29548284"
"22610854","22610854"
"30380109","30380109"
"24923821","24923821"
"30967549","30967549"
"22139933","22139933"
"27465544","27465544"
"26582920","26582920"
"27638885","27638885"
"28187703","28187703"
"26516188","26516188"
"22984621","22984621"
"25707505","25707505"
"27081555","27081555"
"33308175","33308175"
"29897484","29897484"
"27484196","27484196"
"28806134","28806134"
"32228437","32228437"
"29619235","29619235"
"26173699","26173699"
"28025339","28025339"
"34755873","34755873"
"34456903","34456903"
"25326331","25326331"
"25988315","25988315"
"28977416","28977416"
"29531263","29531263"
"31284879","31284879"
"29892515","29892515"
"22127860","22127860"
"23750084","23750084"
"33095885","33095885"
"24324765","24324765"
"29047407","29047407"
"23180781","23180781"
"22120663","22120663"
"26578584","26578584"
"33507270","33507270"
"24001185","24001185"
"22493526","22493526"
"22792232","22792232"
"30535108","30535108"
"22053089","22053089"
"25097383","25097383"
"33502860","33502860"
"22096229","22096229"
"23282057","23282057"
"24253300","24253300"
"23046449","23046449"
"25388589","25388589"
"22140115","22140115"
"27899604","27899604"
"24297255","24297255"
"26432833","26432833"
"30397019","30397019"
"30252093","30252093"
"24030781","24030781"
"28168018","28168018"
"22260278","22260278"
"21873645","21873645"
"32512182","32512182"
"22592381","22592381"
"25378302","25378302"
"34189203","34189203"
"25848172","25848172"
"21177658","21177658"
"25204646","25204646"
"28592645","28592645"
"29036527","29036527"
"26653323","26653323"
"25058394","25058394"
"29106644","29106644"
"24194598","24194598"
"31874631","31874631"
"27899675","27899675"
"30295851","30295851"
"27899654","27899654"
"26424080","26424080"
"26519469","26519469"
"33645624","33645624"
"27087309","27087309"
"30046160","30046160"
"24507667","24507667"
"25320561","25320561"
"27630202","27630202"
"23193276","23193276"
"27789704","27789704"
"26376976","26376976"
"21492431","21492431"
"23193279","23193279"
"25115331","25115331"
"25414382","25414382"
"33137204","33137204"
"26989151","26989151"
"29220464","29220464"
"26656885","26656885"
"32821400","32821400"
"29097748","29097748"
"31598675","31598675"
"34023905","34023905"
"25361973","25361973"
"23837716","23837716"
"32133509","32133509"
"21624162","21624162"
"33287903","33287903"
"27924012","27924012"
"22570419","22570419"
"32028878","32028878"
"21498547","21498547"
"22267903","22267903"
"34976312","34976312"
"31780665","31780665"
"29697370","29697370"
"29899596","29899596"
"22110036","22110036"
"34768782","34768782"
"25125444","25125444"
"24194591","24194591"
"29905762","29905762"
"32128558","32128558"
"23874394","23874394"
"27493549","27493549"
"31701147","31701147"
"24885522","24885522"
"34378177","34378177"
"29136207","29136207"
"27794552","27794552"
"34415996","34415996"
"23667450","23667450"
"29648583","29648583"
"30357370","30357370"
"26546515","26546515"
"26444974","26444974"
"33166392","33166392"
"22369201","22369201"
"29029599","29029599"
"31906602","31906602"
"25776024","25776024"
"29069510","29069510"
"30476305","30476305"
"29961817","29961817"
"33219686","33219686"
"24926662","24926662"
"27651464","27651464"
"31617563","31617563"
"33045751","33045751"
"34464437","34464437"
"29788225","29788225"
"28751672","28751672"
"26363021","26363021"
"25332394","25332394"
"23846593","23846593"
"33045741","33045741"
"31713618","31713618"
"25725059","25725059"
"24150937","24150937"
"28008948","28008948"
"25819075","25819075"
"24243842","24243842"
"23193296","23193296"
"32499815","32499815"
"32618424","32618424"
"26708986","26708986"
"33906563","33906563"
"29036329","29036329"
"23658631","23658631"
"22058127","22058127"
"32367112","32367112"
"31353404","31353404"
"31665439","31665439"
"24143056","24143056"
"33193550","33193550"
"23584832","23584832"
"26912953","26912953"
"30820574","30820574"
"31648227","31648227"
"27924046","27924046"
"33903708","33903708"
"24391364","24391364"
"29897419","29897419"
"33245771","33245771"
"24330312","24330312"
"24167507","24167507"
"33125077","33125077"
"22545773","22545773"
"31586405","31586405"
"25378329","25378329"
"31679514","31679514"
"22301388","22301388"
"23118485","23118485"
"34729303","34729303"
"24214963","24214963"
"33780471","33780471"
"27069559","27069559"
"30764761","30764761"
"26513174","26513174"
"31240103","31240103"
"30584170","30584170"
"33084905","33084905"
"25098325","25098325"
"22701463","22701463"
"29145608","29145608"
"35424258","35424258"
"29745830","29745830"
"27899569","27899569"
"25566299","25566299"
"34485275","34485275"
"23875173","23875173"
"25380778","25380778"
"29795526","29795526"
"27510400","27510400"
"33119751","33119751"
"30418645","30418645"
"31157825","31157825"
"33822911","33822911"
"26450962","26450962"
"31231773","31231773"
"21668943","21668943"
"21177657","21177657"
"31836897","31836897"
"29126312","29126312"
"26322134","26322134"
"23935057","23935057"
"23060735","23060735"
"25905099","25905099"
"22086948","22086948"
"23155064","23155064"
"24475242","24475242"
"34156446","34156446"
"26527720","26527720"
"33156326","33156326"
"25288655","25288655"
"24203705","24203705"
"33238004","33238004"
"29967752","29967752"
"26255309","26255309"
"29433427","29433427"
"30380113","30380113"
"27924023","27924023"
"22140101","22140101"
"23066841","23066841"
"26106450","26106450"
"23019219","23019219"
"33382886","33382886"
"29036655","29036655"
"26656948","26656948"
"29069466","29069466"
"30841849","30841849"
"22606288","22606288"
"27167218","27167218"
"31612915","31612915"
"24536078","24536078"
"26286928","26286928"
"31042284","31042284"
"25392421","25392421"
"33418085","33418085"
"23193269","23193269"
"28365734","28365734"
"34363073","34363073"
"34900127","34900127"
"22053087","22053087"
"22096233","22096233"
"22096227","22096227"
"30268942","30268942"
"29109711","29109711"
"22080560","22080560"
"29036653","29036653"
"25378301","25378301"
"29194489","29194489"
"27799474","27799474"
"31404401","31404401"
"22276777","22276777"
"25889518","25889518"
"34349127","34349127"
"26243198","26243198"
"25858286","25858286"
"29220447","29220447"
"28365733","28365733"
"25877638","25877638"
"32990748","32990748"
"22135287","22135287"
"27742822","27742822"
"25527833","25527833"
"23173617","23173617"
"24244721","24244721"
"29077896","29077896"
"30874795","30874795"
"30065744","30065744"
"25953081","25953081"
"23864220","23864220"
"33502607","33502607"
"29155944","29155944"
"31754718","31754718"
"28608363","28608363"
"24170808","24170808"
"33174596","33174596"
"23955518","23955518"
"23585830","23585830"
"22121219","22121219"
"34266386","34266386"
"22123747","22123747"
"25347823","25347823"
"23071556","23071556"
"32159764","32159764"
"22139941","22139941"
"27509041","27509041"
"32833025","32833025"
"22146221","22146221"
"25725060","25725060"
"27822553","27822553"
"22856649","22856649"
"32986834","32986834"
"27504011","27504011"
"21856757","21856757"
"29618898","29618898"
"22080565","22080565"
"34510194","34510194"
"33219670","33219670"
"23143105","23143105"
"30944327","30944327"
"30371819","30371819"
"30858555","30858555"
"24923822","24923822"
"32911083","32911083"
"25145340","25145340"
"31825307","31825307"
"26527726","26527726"
"24194596","24194596"
"33514395","33514395"
"31231774","31231774"
"23619930","23619930"
"27899620","27899620"
"28854643","28854643"
"29106642","29106642"
"26486520","26486520"
"29145625","29145625"
"22491796","22491796"
"25332399","25332399"
"21584191","21584191"
"26822098","26822098"
"22309450","22309450"
"26490638","26490638"
"30813887","30813887"
"24465676","24465676"
"25559128","25559128"
"24253302","24253302"
"31652812","31652812"
"26590264","26590264"
"22730453","22730453"
"27907895","27907895"
"30053238","30053238"
"24311565","24311565"
"29177508","29177508"
"28454513","28454513"
"33653882","33653882"
"24297253","24297253"
"23275726","23275726"
"22563442","22563442"
"34025934","34025934"
"25378328","25378328"
"34527188","34527188"
"32393257","32393257"
"32451429","32451429"
"23189029","23189029"
"34389843","34389843"
"26912952","26912952"
"28086860","28086860"
"25172923","25172923"
"26896846","26896846"
"23874618","23874618"
"23996831","23996831"
"31640730","31640730"
"26507856","26507856"
"32117995","32117995"
"22139910","22139910"
"32487016","32487016"
"25540777","25540777"
"31410488","31410488"
"31637139","31637139"
"27152146","27152146"
"24297257","24297257"
"24214996","24214996"
"27017950","27017950"
"22419844","22419844"
"22833564","22833564"
"34630517","34630517"
"25527095","25527095"
"23203867","23203867"
"23286825","23286825"
"24229347","24229347"
"28651363","28651363"
"25931458","25931458"
"24271398","24271398"
"22139911","22139911"
"21884625","21884625"
"33514746","33514746"
"24271385","24271385"
"24501396","24501396"
"32090261","32090261"
"27530928","27530928"
"29106588","29106588"
"23125372","23125372"
"24573879","24573879"
"32111231","32111231"
"27285615","27285615"
"25931459","25931459"
"23203877","23203877"
"33306802","33306802"
"28184254","28184254"
"25178289","25178289"
"25262355","25262355"
"27899613","27899613"
"22369214","22369214"
"23084778","23084778"
"30335176","30335176"
"34120586","34120586"
"28365722","28365722"
"32974523","32974523"
"25604238","25604238"
"32324748","32324748"
"33247934","33247934"
"26827236","26827236"
"30535146","30535146"
"33581334","33581334"
"31566225","31566225"
"27234245","27234245"
"31612943","31612943"
"25399418","25399418"
"28182744","28182744"
"32556221","32556221"
"25024350","25024350"
"25428349","25428349"
"33749993","33749993"
"27515825","27515825"
"30445567","30445567"
"24428888","24428888"
"29657279","29657279"
"32597311","32597311"
"26637529","26637529"
"24271386","24271386"
"31831730","31831730"
"33045747","33045747"
"26496950","26496950"
"21890895","21890895"
"30760842","30760842"
"23272737","23272737"
"21735248","21735248"
"32693783","32693783"
"26578589","26578589"
"25313158","25313158"
"31724725","31724725"
"30380106","30380106"
"23203876","23203876"
"23203890","23203890"
"21486466","21486466"
"31086734","31086734"
"22768977","22768977"
"29069459","29069459"
"24174541","24174541"
"25324303","25324303"
"23153078","23153078"
"34332522","34332522"
"23046413","23046413"
"24312499","24312499"
"26072489","26072489"
"33245774","33245774"
"25336619","25336619"
"30239681","30239681"
"29106626","29106626"
"30874591","30874591"
"30203047","30203047"
"29036324","29036324"
"33294866","33294866"
"30349509","30349509"
"25102069","25102069"
"21731755","21731755"
"31733062","31733062"
"24923818","24923818"
"21593080","21593080"
"23448274","23448274"
"33363449","33363449"
"31733064","31733064"
"34521345","34521345"
"31160594","31160594"
"24727366","24727366"
"27625390","27625390"
"31647099","31647099"
"30395323","30395323"
"23093593","23093593"
"22535208","22535208"
"31950190","31950190"
"32810235","32810235"
"23282181","23282181"
