"","N","Y","percent"
"isOpenAccess",915,2790,75.3036437246964
"hasTextMinedTerm",26,3679,99.2982456140351
"hasDbCrossReferences",3590,115,3.10391363022942
"hasLabsLinks",382,3323,89.689608636977
"hasTMAccessionNumbers",2724,981,26.4777327935223
