"agency","count_all_funder_metadata_instances","count_unique_articles","count_unique_biodata_resources","list_PMIDs_for_funder"
"National Natural Science Foundation of China",661,294,289,"34025933, 32986825, 31584087, 31695717, 31665428, 31665428, 31665428, 31665428, 34839012, 32294195, 29321052, 31843802, 33125076, 33125076, 28968841, 30239683, 32681639, 32681639, 33219693, 33219693, 33219693, 30215764, 30215764, 31665503, 31665503, 31665503, 31665503, 31665503, 31665503, 31665503, 33882119, 33882119, 32540200, 32540200, 28605773, 28605773, 28605773, 28605773, 29985970, 29985970, 33010176, 30329142, 30329142, 30329095, 30329095, 31701131, 31701131, 31701131, 34345532, 29939204, 29939204, 29939204, 27635320, 35134148, 31691819, 31691819, 29992323, 33471060, 33471060, 33471060, 30289549, 30289549, 30289549, 33147626, 31428785, 31428785, 31428785, 32608479, 32608479, 33970229, 33662628, 33662628, 30045691, 30045691, 32345360, 34296749, 34296749, 27365365, 27365365, 27365365, 27365365, 33181824, 34856391, 34856391, 34856391, 33121433, 33109630, 30357356, 33693668, 31813095, 31813095, 31813095, 31901979, 31901979, 31901979, 33010163, 33010163, 33010163, 32436316, 33313674, 33313674, 33313674, 33313674, 33313674, 33313674, 33313674, 33313674, 33313674, 33313674, 34992626, 33068433, 33068433, 33009914, 30285246, 30285246, 34927675, 34927675, 29178828, 29178828, 33320930, 33938221, 30016397, 30379998, 30379998, 29860480, 29860480, 29860480, 30665056, 30665056, 31603498, 29961819, 30482172, 26940364, 26940364, 34097004, 34097004, 28381244, 27209279, 29209336, 29209336, 29209336, 31665429, 31665429, 31665429, 33104791, 30380071, 30380071, 28575155, 31665430, 31665430, 30788500, 30788500, 30788500, 30357379, 30357379, 35694152, 30476229, 33002112, 30365030, 30365030, 30365030, 30365030, 30365030, 31887789, 31887789, 31887789, 31887789, 30335161, 30335161, 30335161, 30335161, 30364969, 30321400, 30321400, 30321400, 30321400, 30321400, 32681912, 32681912, 34085038, 34085038, 33511767, 33511767, 34954426, 34954426, 34954426, 34954426, 34954426, 33497436, 33497436, 33497436, 33203359, 31774482, 31774482, 32120139, 32120139, 29126995, 27037912, 27037912, 27037912, 31277321, 31277321, 31642496, 31630971, 31630971, 31630971, 31630971, 33965348, 33045729, 33045729, 31504765, 31504765, 31504765, 33868597, 27098585, 33151298, 33151298, 31725863, 31584099, 32496513, 31566222, 31566222, 31566222, 31566222, 34175476, 34175476, 34175476, 30066211, 30066211, 34642750, 30266410, 30266410, 30266410, 28529078, 30053237, 33264402, 33264402, 28549078, 34164644, 34791105, 34791105, 33677507, 33677507, 33984507, 31783725, 31783725, 32315389, 32858223, 32858223, 32858223, 31524396, 31524396, 33406221, 33406221, 33406221, 32941628, 32941628, 32941628, 32941628, 32941628, 30371881, 30371881, 29548284, 34755873, 34755873, 34755873, 34755873, 34755873, 34755873, 33507270, 32512182, 32512182, 32512182, 32512182, 33147622, 33147622, 31598675, 31598675, 23601370, 23601370, 31906602, 31906602, 30476305, 30476305, 30476305, 30476305, 32820322, 32820322, 33219686, 33219686, 33219686, 33219686, 31617563, 31617563, 31617563, 31617563, 33045751, 29788225, 29788225, 29788225, 32766766, 32766766, 30276831, 30276831, 33045741, 33045741, 32193291, 32193291, 32193291, 31713618, 31713618, 31713618, 31713618, 33906563, 32367112, 32367112, 31665439, 31665439, 31665439, 31665439, 33125077, 33125077, 33125077, 33125077, 33125077, 33125077, 30057343, 30057343, 30057343, 31240103, 31240103, 31240103, 31231773, 31231773, 31231773, 29433427, 29433427, 28968812, 28968812, 28968812, 27167218, 27167218, 27167218, 27167218, 27167218, 33418085, 33418085, 33418085, 32990748, 32990748, 32990748, 32990748, 33126250, 33126250, 32833025, 34510194, 33219670, 33219670, 32911083, 34389843, 34389843, 33359127, 32117995, 28961690, 32105730, 32105730, 32487016, 32487016, 33275967, 32122231, 33514746, 33514746, 33514746, 32111231, 32111231, 33306802, 30335176, 30335176, 34120586, 34120586, 34120586, 33581334, 30445567, 30445567, 32597311, 31086734, 31086734, 30134653, 30134653, 31950190, 33997360, 33997360, 33997360, 33997360, 33997360, 32103267, 32103267, 33304468, 29982280, 31584086, 31584086, 31584086, 31584086, 31640808, 31640808, 31640808, 31640808, 31584089, 31584089, 33330918, 30357353, 31725858, 26211629, 26211629, 26211629, 33554247, 33554247, 33554247, 33554247, 31602478, 30239819, 30239819, 31620779, 31620779, 33010159, 33010159, 31599098, 31809863, 31809863, 30380102, 30380102, 33003203, 33003203, 33003203, 31598699, 31598699, 33068412, 33068412, 33068412, 30020436, 28529082, 34022814, 33685493, 33685493, 32849839, 33021671, 33021671, 33021671, 33021671, 33021671, 31799597, 31799597, 31799597, 31906603, 34496744, 29028888, 32382747, 30380119, 30380119, 30380119, 30380119, 32709339, 33010177, 33010177, 29617941, 29617941, 29617941, 29617941, 29617941, 29617941, 29961821, 25640659, 25640659, 25640659, 30371817, 30371817, 29309507, 33045745, 33045745, 33045745, 33045745, 31642484, 28365723, 28365723, 28365723, 31511885, 31511885, 31511885, 31713629, 31713629, 31713629, 31713629, 28420402, 32976581, 32976581, 27643925, 27643925, 27643925, 27643925, 27643925, 28974472, 30380087, 30380087, 33985427, 27337171, 34273956, 32351388, 32990749, 32990749, 32990749, 32248093, 32620074, 32620074, 32286817, 32286817, 33179754, 33179754, 33179754, 33360695, 30913342, 34407614, 34407614, 34407614, 34407614, 33074314, 33074314, 33074314, 30371815, 30184150, 30184150, 32047897, 32047897, 32047897, 32047897, 30223042, 33068436, 33068436, 33993461, 33993461, 33993461, 32168374, 31021279, 33095866, 33095866, 30365026, 30365026, 30365026, 34601118, 32349124, 32221380, 32738156, 32738156, 29351734, 29351734, 29351734, 30217145, 30217145, 30462313, 30462313, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33306800, 30364951, 30364951, 30364951, 30364951, 30364951, 30364956, 30364956, 30364956, 31599330, 31599330, 31599330, 33219685, 33219685, 33219685, 30285109, 30285109, 29917040, 33306787, 33306787, 31670377, 31670377, 30364952, 30335166, 30335166, 34344425, 33693667, 32016318, 31161214, 33175131, 33175131, 33175131, 33175131, 33175131, 33175131, 33175131, 33175131, 33175131, 30715167, 30715167, 30172046, 30172046, 30172046, 30407568, 30407568, 30371818, 30204897, 30204897, 30204897, 30204897, 30329098, 31942978, 31942978, 33196801, 33196801, 33196801, 33196801, 33196801, 26744602, 26744602, 33010178, 33010178, 33219661, 33219661, 33219661, 30407549, 30407549, 30407549, 30407549, 30407549"
"CAS",5,3,3,"31648087, 31648087, 31566222, 31566222, 33264402"
"Natural Science Foundation of Tianjin",3,3,3,"31648087, 31691819, 31598699"
"National Key Research and Development Program of China",143,68,68,"31648087, 32608479, 33970229, 33970229, 33970229, 34296749, 33121433, 33693668, 33010163, 33313674, 33313674, 32754758, 33068433, 29961819, 30788500, 30365030, 30365030, 30335161, 31584095, 31584095, 31584095, 34954426, 34954426, 34954426, 34954426, 32120139, 32120139, 32120139, 33045729, 31504765, 31504765, 33151298, 31566222, 34175476, 34175476, 34175476, 34175476, 34175476, 34175476, 34175476, 34175476, 34175476, 33264402, 33264402, 33264402, 33264402, 33264402, 33264402, 34164644, 33515030, 34755873, 33147622, 33219686, 33045751, 33045751, 33125077, 33084905, 33084905, 31157825, 33418085, 33418085, 33418085, 33126250, 32833025, 33219670, 34156447, 33275967, 34120586, 34120586, 33581334, 33581334, 33581334, 32597311, 31950190, 33997360, 33997360, 33997360, 33997360, 33997360, 31584089, 31584089, 30055873, 34111777, 34111777, 33554247, 33010159, 34122478, 29617941, 29617941, 33045745, 30380087, 30380087, 30380087, 32990749, 33360695, 33074314, 33074314, 30223042, 33068436, 33068436, 30462313, 30462313, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 31599330, 33219685, 33306787, 33306787, 33084874, 33084874, 33175131, 33175131, 33170268, 33170268, 33170268, 30204897, 30329098, 30329098, 33219661"
"National Science Foundation of China",13,6,6,"31648087, 31598709, 31598709, 31598709, 32510565, 32510565, 32510565, 30252093, 31231774, 31231774, 31231774, 31231774, 32542382"
"Chinese Academy of Sciences",83,28,27,"31648087, 29209336, 33104791, 30357418, 30357418, 30357418, 31584095, 29126995, 29126995, 33119759, 33119759, 33119759, 33119759, 33119759, 33119759, 31811943, 32055858, 28387199, 28387199, 31566222, 31566222, 34175476, 34175476, 34175476, 34175476, 34175476, 30196115, 30371881, 33045751, 33045751, 33045751, 33045751, 30335176, 30335176, 30335176, 31584086, 31620779, 31620779, 28529082, 28529082, 28529082, 30365026, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 33175170, 31599330, 31599330, 31599330, 31670377, 30364952, 30364952, 33170268, 33170268, 33170268, 30329098, 30329098, 30329098, 30329098, 33196801, 33196801, 33196801, 33196801, 33704069, 33704069, 33704069, 33704069, 33704069, 33704069, 33704069, 33704069"
"National Institutes of Health",195,126,115,"33401309, 33401309, 33401309, 30239679, 30239679, 32765587, 30371900, 31586392, 31586392, 31586392, 27193158, 30534948, 29509874, 31210271, 30668638, 33095860, 32392296, 32392296, 32392296, 33167031, 30357367, 32890396, 31725864, 31725864, 33211888, 33174603, 33174603, 33119734, 33079988, 31612957, 31612957, 31612957, 31612957, 31612957, 30371892, 30371892, 30371892, 33787872, 31642488, 31642488, 31642488, 29337142, 29890119, 30407583, 30407583, 30407583, 31841142, 31841142, 30445434, 33119754, 33119754, 33119754, 33119754, 33119754, 33119754, 29028885, 28967693, 30418591, 30418591, 30535108, 30535108, 27841751, 33137204, 31701147, 31701147, 33166392, 31679514, 31679514, 31679514, 30764761, 26322134, 30841849, 30841849, 31612915, 31042284, 28490127, 31754718, 31754718, 33174596, 33174596, 33174596, 33174596, 33174596, 33174596, 33174596, 33174596, 29206899, 29206899, 25542617, 25542617, 33442735, 31566225, 31566225, 31566225, 31647099, 28365761, 28365761, 30805645, 27789569, 28862395, 30329093, 31950189, 30202870, 31494246, 27010673, 31240309, 33156327, 33156327, 33729437, 31490686, 34522848, 33035346, 31680168, 31837751, 31598702, 31598702, 26227548, 32386298, 28160322, 28160322, 30476227, 34366563, 31740966, 31740966, 31740966, 31740966, 26434508, 33290552, 33290552, 33104772, 32558264, 33305318, 34387941, 31691815, 31691815, 31665425, 31665425, 31665425, 33151287, 33270111, 31114900, 31114900, 31584097, 31504780, 31504780, 26919060, 26919060, 31680153, 31680153, 33221922, 31713622, 33290554, 30357350, 27914894, 28280852, 28280852, 33237286, 31777943, 30398643, 30395331, 30395331, 33125071, 31696236, 31696236, 31696236, 31696236, 30395289, 31777944, 30476243, 30476243, 33166387, 29846728, 33106848, 33106848, 33270901, 33170210, 33170210, 33156333, 33170273, 30407594, 30371825, 30407545, 33068428, 30407521, 30407521, 33151290, 32128557, 31691826, 30407599, 30407599, 30407599, 30395287, 33231642, 31598706, 31713623"
"EU 7th Framework Programme",1,1,1,"22682155"
"Biotechnology and Biological Sciences Research Council",528,179,117,"22682155, 22345505, 22345505, 25414324, 24265221, 33176685, 33176685, 33176685, 28708831, 28708831, 28708831, 25414348, 25414348, 25414348, 25414348, 27189610, 27189610, 27189610, 27189610, 27189610, 26794641, 29040563, 29040563, 29040563, 32754757, 32754757, 32754757, 32754757, 32754757, 32754757, 32754757, 23180789, 31095607, 25270877, 25348397, 25348397, 25348397, 25348397, 33084893, 33084893, 33084893, 23203878, 25232097, 23161684, 22110040, 22110040, 22110040, 30008982, 22080548, 25432969, 25432969, 25432969, 25432969, 25432969, 32726198, 34220930, 34220930, 27899646, 27899646, 27899646, 23203866, 23203866, 26590404, 21803806, 30357393, 30357393, 22912585, 22139938, 30349118, 25361971, 25348407, 25348407, 25348407, 25348407, 25348407, 25348407, 25348407, 25348407, 25348407, 25348407, 25348407, 25348407, 26314736, 25189782, 25189782, 30364992, 27189608, 26578596, 27484196, 28806134, 28806134, 22096229, 22096229, 22096229, 22494395, 22494395, 27899604, 27899604, 30252093, 23667450, 23667450, 23452239, 23452239, 24330312, 30418645, 30418645, 30418645, 30418645, 30418645, 30418645, 23060735, 23060735, 23060735, 23060735, 31612915, 31612915, 33502607, 33502607, 33502607, 33502607, 25172923, 25399418, 33749993, 33749993, 33749993, 33749993, 33749993, 33749993, 33749993, 33749993, 33749993, 33749993, 33749993, 32693783, 32693783, 32693783, 32693783, 32693783, 32693783, 32693783, 32693783, 22674824, 22674824, 22674824, 22674824, 22674824, 22674824, 22674824, 26476444, 26476444, 26476444, 26476444, 26476444, 31584092, 31584092, 31584092, 31584092, 31584092, 31584092, 31584092, 31584092, 31584092, 31584092, 31584092, 31584092, 25414340, 25414340, 25414340, 25414340, 25414340, 25414340, 25414340, 23674503, 21801404, 30053269, 30053269, 30053269, 25558364, 25558364, 21980353, 30321422, 29057095, 29057095, 29057095, 29057095, 29057095, 29057095, 29057095, 33416848, 29228298, 29228298, 27097230, 27097230, 27097230, 27097230, 22121217, 22121217, 22121217, 25300487, 25300487, 25414345, 25414345, 22140109, 28013278, 26123534, 23766369, 23766369, 24194607, 24194607, 24194607, 25300491, 25300491, 32548865, 32548865, 32548865, 32548865, 32548865, 32548865, 32548865, 32548865, 32548865, 32548865, 26452372, 26452372, 27899279, 27899279, 27899279, 30398663, 30398663, 30398663, 24304889, 31696235, 31696235, 31696235, 31696235, 22080546, 25635527, 25635527, 25635527, 25635527, 30476227, 32728249, 32728249, 23203987, 23203987, 23203987, 23203987, 22067447, 22067447, 22067447, 22067447, 22067447, 27794045, 33290552, 33290552, 33290552, 33290552, 33290552, 33290552, 33290552, 23193253, 23193253, 29145643, 26673716, 25352543, 25352543, 29112718, 31724711, 30020414, 30020414, 27899622, 31642470, 30423142, 30423142, 30395294, 31701150, 31701150, 31701150, 31701150, 31701150, 31701150, 31701150, 31701150, 26467479, 26467479, 24297252, 30298402, 30298402, 33270111, 24270792, 24270792, 31733063, 31733063, 31733063, 31733063, 31733063, 31733063, 31733063, 31733063, 31733063, 31733063, 25428371, 25428371, 25428371, 25428371, 23109552, 23109552, 23109552, 23109552, 23109552, 29106550, 29106550, 29106550, 29106550, 27613420, 27613420, 27613420, 27613420, 27613420, 27613420, 27613420, 27613420, 30445555, 30445555, 29858801, 26481351, 26481351, 26582919, 26582919, 26657633, 23193272, 28077563, 24316576, 24316576, 24316576, 24316576, 24316576, 24316576, 24163254, 24163254, 24163254, 24163254, 24163254, 24163254, 24163254, 26476458, 26476458, 24217918, 24217918, 24217918, 24217918, 24217918, 24217918, 30217829, 30217829, 23203882, 30357350, 27794554, 27794554, 27794554, 29927072, 33237286, 33237286, 33237286, 24275495, 24214989, 24214989, 26578585, 26578585, 26578585, 27899635, 27899635, 27899635, 27899635, 29140473, 29140473, 29140473, 23630246, 23630246, 23630246, 23630246, 23630246, 23630246, 23630246, 25428363, 22096232, 22096232, 26888907, 30395331, 30395331, 30395331, 30395331, 30395331, 29858800, 27450113, 27450113, 27450113, 27450113, 27450113, 27450113, 27450113, 27450113, 30395289, 30395289, 30395289, 30395289, 33125078, 30395267, 30395267, 33211869, 33211869, 33211869, 26615190, 26615190, 29112716, 29112716, 29112716, 29112716, 30398656, 30398656, 30398656, 30398656, 30398656, 30398656, 31701148, 22064864, 22064864, 27980099, 26896847, 26896847, 26896847, 26896847, 25723102, 25723102, 25723102, 25723102, 25723102, 29165610, 29165610, 29165610, 29165610, 31641782, 31641782, 31641782, 31641782, 26527722, 26527722, 26527722, 26527722, 26527722, 24288371, 33106848, 33106848, 29069413, 27899630, 27899630, 33156333, 33156333, 33156333, 33156333, 33156333, 33156333, 23180798, 29155950, 29155950, 29155950, 33170273, 29140475, 29140475, 29140475, 30407521, 30407521, 30407521, 30395270, 30395270, 30395270, 30395270, 31691826, 31691826, 31691826, 31691826, 31691826, 31722421, 31722421, 31722421, 31722421, 31722421, 31722421, 26578574, 26578574, 26578574, 26578574, 26578574, 26578574, 26578574, 26578574, 26578574, 30395287, 33175160, 33175160, 33175160, 33175160, 33175160, 33175160, 33175160, 29092050, 29092050, 29092050, 29092050, 29092050, 29092050, 29092050, 29092050, 29092050, 29092050, 29092050, 31598706, 31598706, 31598706, 31598706, 31598706, 31598706, 31598706, 31598706, 31598706, 31598706, 22086963, 22086963"
"U.S. Department of Agriculture",15,4,4,"30239679, 30239679, 30239679, 30239679, 30239679, 30239679, 30239679, 30239679, 30239679, 30239679, 30239679, 30239679, 31210271, 28415075, 33264401"
"International Center for Tropical Agriculture",1,1,1,"30239679"
"The US Land Grant Universities",1,1,1,"30239679"
"Fondazione Edmund Mach",2,2,2,"30239679, 30576486"
"US Dry Pea and Lentil Council",1,1,1,"30239679"
"Washington Tree Fruit Research",1,1,1,"30239679"
"Bill and Melinda Gates Foundation",3,2,2,"30239679, 30239679, 31598706"
"Agence Nationale de la Recherche",32,16,16,"30239679, 31680137, 31680137, 31680137, 31680137, 31680137, 33444113, 33444113, 33444113, 34189203, 31605615, 32618424, 28791657, 35559777, 28608363, 28608363, 28608363, 30944327, 34245304, 34245304, 34245304, 34245304, 30380106, 30380106, 30380106, 30380106, 30380106, 31733062, 31733062, 25740460, 30794542, 33305318"
"Consultative Group for International Agricultural Research",1,1,1,"30239679"
"Research and Innovation Center",1,1,1,"30239679"
"U.S. Department of Energy",15,8,8,"30239679, 31665416, 32986834, 32986834, 32986834, 32986834, 33104790, 33104790, 32882008, 30208844, 33137183, 33152092, 33152092, 33152092, 33152092"
"The Northern Pulse Growers",1,1,1,"30239679"
"University of Montpellier",1,1,1,"30239679"
"The Australian National Data Service",1,1,1,"30231853"
"Dutch Research Council (NWO)",18,14,14,"28376796, 27995664, 23774715, 23774715, 23774715, 31095607, 31095607, 27899646, 29688353, 33439542, 33822911, 33822911, 31612915, 25352545, 30395294, 26919060, 26496949, 31701148"
"Agentschap NL",1,1,1,"28376796"
"Seventh Framework Programme",10,8,8,"28376796, 31095607, 31095607, 31095607, 34782688, 27664130, 28086860, 29739837, 27749924, 31647100"
"Guangdong Provincial Hospital of Chinese Medicine Science and Technology Research Program",1,1,1,"31123286"
"the National Undergraduate Training Programs for Innovation and Entrepreneurship",1,1,1,"31123286"
"the start-up support for scientific research of Xinglin Young Scholar in Guangzhou University of Chinese Medicine",1,1,1,"31123286"
"Guangdong Science and Technology project",1,1,1,"31123286"
"Novo Nordisk Fonden",23,18,13,"30357390, 27924032, 33010170, 33010170, 27504778, 23143109, 31612915, 31612915, 32079733, 29062930, 34000890, 26476456, 27794045, 33270898, 30395294, 30395294, 26531826, 29156309, 29156309, 31696234, 33152079, 33152079, 25723102"
"Technical University of Denmark",1,1,1,"30357390"
"NNF Center for Biosustainability",15,11,7,"30357390, 27924032, 33010170, 33010170, 27504778, 31612915, 29062930, 26476456, 26476456, 30395294, 29156309, 31696234, 31696234, 33152079, 33152079"
"“Institute for the Promotion of Innovation through Science and Technology in Flanders (IWT-Vlaanderen)”",1,1,1,"22659196"
"PHS HHS",23,19,16,"23193282, 26438539, 26602695, 26503248, 21249531, 23175615, 22610854, 22610854, 23125372, 23093593, 25414355, 22135296, 22135296, 25392405, 26578581, 23180793, 24225323, 24293654, 25510499, 25510499, 25510499, 25414341, 23110173"
"NIMH NIH HHS",91,30,29,"23193282, 23193282, 23193282, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 23774715, 29985970, 29985970, 32386544, 32386544, 32392296, 32392296, 27907889, 26019122, 26019122, 26019122, 24336862, 33439542, 26212453, 24217912, 26362267, 28592645, 22140101, 22140101, 21821666, 26578589, 26048622, 29370821, 29370821, 31868683, 26323714, 22171328, 22171328, 22171328, 22171328, 31171447, 31171447, 31171447, 34522848, 23209562, 23209562, 26590263, 22102583, 33221922, 26311606, 24270788, 24270788, 27587585, 27587585, 27587585, 27587585"
"NHLBI NIH HHS",93,49,34,"23193282, 26602695, 26602695, 29485625, 29485625, 26946289, 26946289, 33787872, 33787872, 27141961, 27141961, 30951672, 30951672, 30951672, 30951672, 30951672, 21982653, 33119754, 33119754, 33973408, 23504933, 23504933, 23504933, 25707505, 25707505, 31701147, 34936882, 34936882, 34936882, 34936882, 34936882, 34936882, 34936882, 34936882, 33514395, 21821666, 25102069, 25102069, 25102069, 24304897, 22086960, 24288368, 27643925, 30052772, 34522848, 33290552, 22102583, 21296746, 21296746, 23730305, 23730305, 23730305, 25388151, 25388151, 25388151, 25388151, 25514926, 25514926, 24234451, 27587585, 21321022, 21520341, 21520341, 21520341, 21520341, 21520341, 25428363, 25428363, 30395267, 23843252, 23843252, 27980099, 23161678, 23255149, 23255149, 26555599, 26555599, 23603846, 23603846, 23603846, 23603846, 23794737, 23794737, 23881287, 23881287, 23881287, 25355511, 25355511, 27602200, 27736745, 29761460, 31713623, 34741192"
"Biomedical Research Council",1,1,1,"30365033"
"European Commission FP VI",1,1,1,"25762455"
"Biotechnology Unit, AMU and DBT",1,1,1,"23317704"
"Ministry of Education",4,3,3,"30247677, 30247677, 30668638, 30587128"
"Polish National Science Center",2,2,2,"30247677, 33270898"
"European Union and Greek National Funds through the Operational Program ‘Competitiveness, Entrepreneurship and Innovation’",1,1,1,"31094220"
"Medical Research Council",127,85,62,"29040693, 34528715, 34528715, 34528715, 26794641, 26794641, 26794641, 26794641, 26794641, 31095607, 25270877, 25270877, 25270877, 23019048, 23019048, 23529715, 23529715, 23529715, 31664080, 21249531, 21249531, 29385418, 30008982, 32726198, 26590404, 26590404, 30357393, 30357393, 30349118, 30349118, 30349118, 30349118, 30349118, 30349118, 30349118, 24174536, 24174536, 25348407, 25189782, 25189782, 27976751, 26578596, 24217912, 24217912, 29040670, 29040670, 24194598, 29897419, 29897419, 31504189, 23060735, 27799474, 22121219, 25542617, 24297257, 24229347, 26476444, 31584092, 25593348, 22363733, 31598690, 34844637, 26746786, 26746786, 29087479, 26123534, 33095862, 27899279, 24318814, 24194600, 24194600, 30407529, 30407529, 30407529, 32728249, 24234449, 33290552, 33290552, 31724711, 31724711, 21447597, 31642470, 24214962, 24214962, 25388151, 30298402, 33270111, 24270792, 31733063, 31612961, 31612961, 26531826, 23109552, 26432830, 26919060, 30445555, 24265223, 24265224, 23650175, 26935103, 27899567, 22067452, 22067452, 29140473, 29140473, 30398659, 30398659, 22127867, 30395331, 30395331, 27450113, 32486891, 22102590, 24194605, 24194605, 30398656, 31701148, 31701148, 31701148, 23161678, 29069413, 26555599, 26555599, 33156333, 26578574, 26578574, 31598706"
"NHGRI NIH HHS",407,194,120,"30371900, 30534948, 30534948, 30534948, 25477388, 21233089, 29637199, 29126148, 29126148, 22140108, 24470572, 30486838, 30486838, 23508969, 23508969, 26855883, 32227657, 27907889, 27907889, 27907889, 24122041, 23172289, 31612957, 33995899, 27766955, 27664130, 23203885, 23203885, 24243844, 21994220, 21994220, 30357393, 22110038, 22110038, 23161689, 26780094, 26780094, 26780094, 34859531, 34859531, 34859531, 22123736, 22123736, 26673694, 30445434, 22064851, 22064851, 22064851, 21450710, 21450710, 24217912, 24217912, 24217912, 24217912, 24217912, 24217912, 28967693, 28967693, 22792232, 22792232, 27841751, 31679514, 31679514, 24203705, 24203705, 22140101, 26656948, 29155944, 21856757, 29284660, 22080565, 29206899, 29206899, 25542617, 25542617, 25428349, 25428349, 26578589, 26578589, 26578589, 26578589, 26578589, 29487113, 31647099, 31647099, 24939129, 21624156, 27026615, 27026615, 27026615, 27026615, 23378291, 23378291, 23378291, 24227675, 27799469, 28862395, 24163250, 32345346, 29040625, 29040625, 26097510, 22140105, 22140105, 23203869, 26516187, 26516187, 22140109, 30053266, 29092939, 34154643, 34154643, 30052772, 23197656, 25378322, 25378322, 31283070, 31283070, 24267744, 24267744, 22067444, 22067444, 30462313, 26590259, 26590259, 26590259, 26590259, 26590259, 26590259, 26590259, 26590259, 22736877, 22736877, 22736877, 22736877, 22736877, 22736877, 25392405, 25348409, 22075990, 22075990, 23110975, 23110975, 23110975, 23110975, 23110975, 23110975, 23110975, 22080546, 24194600, 24194600, 29069475, 25214827, 26612867, 26612867, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 32728249, 23203987, 23203987, 23203987, 23203987, 27794045, 24234449, 24234449, 33290552, 33290552, 33290552, 33290552, 33290552, 33290552, 33290552, 33290552, 33290552, 33290552, 24007337, 24007337, 29077884, 23245209, 23245209, 29145643, 22102583, 33021634, 34387941, 25352543, 31691815, 31691815, 29112718, 22110037, 22110037, 22110037, 31665425, 28150237, 27899622, 27899622, 21447597, 21447597, 21447597, 31642470, 23074187, 23074187, 23074187, 33261662, 23494302, 33270111, 25378336, 25378336, 25378336, 25378336, 25378336, 31584097, 26919060, 31680153, 31680153, 33221922, 33221922, 33221922, 33221922, 33221922, 33221922, 26481351, 26481351, 23175610, 23175610, 23161672, 23161672, 23193272, 23193272, 23193272, 21672956, 33436076, 33436076, 33436076, 33436076, 31713622, 27515742, 24316576, 24316576, 24316576, 26935103, 27899567, 27899567, 24217918, 24217918, 30304474, 33290554, 30357350, 27794554, 27794554, 23487186, 23487186, 24214955, 24214955, 33237286, 33237286, 22067452, 22067452, 22067452, 27899582, 21520341, 21520341, 21520341, 25428374, 25428374, 25428374, 25428374, 25428374, 25428374, 25428374, 25428374, 24285300, 24285300, 34698891, 34698891, 34698891, 25361974, 25361974, 23143107, 23203985, 29126249, 29126249, 22127867, 30395331, 30395331, 30395331, 30395331, 30395331, 30395331, 28713666, 28713666, 26578592, 26578592, 30395267, 30395267, 30395267, 30395267, 30395267, 32486891, 32486891, 33211869, 24265222, 22102590, 22102590, 24194605, 24194605, 24194605, 28838067, 28838067, 23843252, 30398656, 25348401, 25348401, 25414346, 23193274, 23193274, 23193274, 23193274, 23161678, 23161678, 23161678, 23161678, 22135293, 29165610, 33106848, 33106848, 33106848, 33106848, 29145629, 23161681, 23161681, 23161681, 29069413, 29069413, 33170210, 33170210, 26555599, 26555599, 26578600, 26578600, 29155950, 29155950, 33170273, 33170273, 30407594, 22012987, 22012987, 29140510, 24253303, 24253303, 30407545, 30407545, 30407545, 30407545, 27899570, 27899570, 30407521, 24243840, 25348405, 25348405, 25348405, 25348405, 25348405, 26097180, 26097180, 26097180, 26097180, 26097180, 29092072, 31691826, 31691826, 26087747, 26087747, 26631132, 26519399, 26519399, 26519399, 30407599, 30407599, 30395287, 30395287, 33231642, 33231642, 22086963, 22086963, 22086963, 29761460, 34741192"
"Saarland University",3,3,3,"30937442, 30380090, 31691816"
"Michael J. Fox Foundation for Parkinson’s Research",1,1,1,"30937442"
"Jiangsu Agricultural Science and Technology Independent Innovation Fund",1,1,1,"32986825"
